Year,Month,Day,Hour,Minute,GHI,Temperature
2014,2,2,3,30,0,-8
2014,2,2,4,30,0,-8
2014,2,2,5,30,0,-8
2014,2,2,6,30,0,-8
2014,2,2,7,30,0,-8
2014,2,2,8,30,53,-6
2014,2,2,9,30,239,-4
2014,2,2,10,30,466,-2
2014,2,2,11,30,572,-1
2014,2,2,12,30,616,-1
2014,2,2,13,30,594,-1
2014,2,2,14,30,508,-1
2014,2,2,15,30,370,-2
2014,2,2,16,30,135,-4
2014,2,2,17,30,17,-5
2014,2,2,18,30,0,-6
2014,2,2,19,30,0,-7
2014,2,2,20,30,0,-8
2014,2,2,21,30,0,-9
2014,2,2,22,30,0,-9
2014,2,2,23,30,0,-9
2014,2,3,0,30,0,-9
2014,2,3,1,30,0,-9
2014,2,3,2,30,0,-9
2014,2,3,3,30,0,-9
2014,2,3,4,30,0,-9
2014,2,3,5,30,0,-9
2014,2,3,6,30,0,-9
2014,2,3,7,30,0,-8
2014,2,3,8,30,125,-6
2014,2,3,9,30,302,-3
2014,2,3,10,30,451,-1
2014,2,3,11,30,547,0
2014,2,3,12,30,589,0
2014,2,3,13,30,409,0
2014,2,3,14,30,325,0
2014,2,3,15,30,140,0
2014,2,3,16,30,108,-2
2014,2,3,17,30,15,-3
2014,2,3,18,30,0,-3
2014,2,3,19,30,0,-4
2014,2,3,20,30,0,-4
2014,2,3,21,30,0,-4
2014,2,3,22,30,0,-5
2014,2,3,23,30,0,-5
2014,2,4,0,30,0,-5
2014,2,4,1,30,0,-6
2014,2,4,2,30,0,-6
2014,2,4,3,30,0,-7
2014,2,4,4,30,0,-7
2014,2,4,5,30,0,-8
2014,2,4,6,30,0,-8
2014,2,4,7,30,0,-7
2014,2,4,8,30,45,-6
2014,2,4,9,30,144,-5
2014,2,4,10,30,326,-4
2014,2,4,11,30,579,-4
2014,2,4,12,30,465,-4
2014,2,4,13,30,488,-4
2014,2,4,14,30,296,-5
2014,2,4,15,30,78,-5
2014,2,4,16,30,163,-7
2014,2,4,17,30,24,-8
2014,2,4,18,30,0,-8
2014,2,4,19,30,0,-9
2014,2,4,20,30,0,-9
2014,2,4,21,30,0,-10
2014,2,4,22,30,0,-10
2014,2,4,23,30,0,-11
2014,2,5,0,30,0,-11
2014,2,5,1,30,0,-12
2014,2,5,2,30,0,-12
2014,2,5,3,30,0,-12
2014,2,5,4,30,0,-12
2014,2,5,5,30,0,-12
2014,2,5,6,30,0,-11
2014,2,5,7,30,0,-10
2014,2,5,8,30,77,-8
2014,2,5,9,30,209,-6
2014,2,5,10,30,358,-4
2014,2,5,11,30,388,-3
2014,2,5,12,30,519,-2
2014,2,5,13,30,602,-2
2014,2,5,14,30,519,-2
2014,2,5,15,30,382,-2
2014,2,5,16,30,206,-3
2014,2,5,17,30,33,-5
2014,2,5,18,30,0,-6
2014,2,5,19,30,0,-6
2014,2,5,20,30,0,-7
2014,2,5,21,30,0,-7
2014,2,5,22,30,0,-8
2014,2,5,23,30,0,-8
2014,2,6,0,30,0,-9
2014,2,6,1,30,0,-10
2014,2,6,2,30,0,-9
2014,2,6,3,30,0,-9
2014,2,6,4,30,0,-9
2014,2,6,5,30,0,-9
2014,2,6,6,30,0,-9
2014,2,6,7,30,0,-8
2014,2,6,8,30,71,-7
2014,2,6,9,30,207,-5
2014,2,6,10,30,231,-3
2014,2,6,11,30,426,-1
2014,2,6,12,30,489,0
2014,2,6,13,30,462,0
2014,2,6,14,30,396,0
2014,2,6,15,30,212,0
2014,2,6,16,30,82,-2
2014,2,6,17,30,16,-3
2014,2,6,18,30,0,-4
2014,2,6,19,30,0,-5
